n;diameter soil level (cm);sectional area (m2);estimated height (cm);x;y;Distance from propagules source (m)
141;4,297183463;0,001450299;260;156,34;-6,64;156,480942
140;4,143101495;0,001348159;220;157,84;-7,64;158,024793
157(DAP);5,411268065;0,002299789;400;159,47;-18,47;160,5360452
109;5,729577951;0,00257831;350;155,77;42,44;161,4479684
112(DAP);7,957747155;0,004973592;550;157,77;38,14;162,3146096
113(DAP);7,161972439;0,004028609;650;158,04;38,14;162,5770623
158(DAP);5,729577951;0,00257831;400;161,47;-20,77;162,8003495
159;4,13802852;0,001344859;300;162,17;-20,07;163,4072024
160;5,092958179;0,002037183;300;163,37;-19,75;164,5594707
123(DAP);7,639437268;0,004583662;500;164,55;3;164,577345
102;4,933803236;0,001911849;300;161,2;38,4;165,7105911
101;7,321127382;0,004209648;700;160,2;44,3;166,212304
88;6,366197724;0,003183099;200;166,48;12,36;166,9381922
86;6,68450761;0,003509366;600;167,18;8,1;167,3761106
115(DAP);6,047887837;0,002872747;450;164,11;38,14;168,4836838
87;7,957747155;0,004973592;500;168,18;11,9;168,6004816
100;6,047887837;0,002872747;600;164,7;41,3;169,7992344
74;4,456338407;0,001559718;250;169,28;-21,25;170,6085605
73;5,411268065;0,002299789;300;170,28;-25,3;172,149262
76;6,525352667;0,003344243;450;171,6;-15,46;172,2950133
85;5,092958179;0,002037183;260;173,83;11,2;174,1904386
96;5,411268065;0,002299789;250;169,55;41,3;174,5075715
84;6,366197724;0,003183099;500;174,83;8,1;175,0175388
79;4,037454768;0,001280281;200;174,97;-9,26;175,2148638
82;7,321127382;0,004209648;500;175,87;-3,61;175,9070465
91;7,639437268;0,004583662;500;174,9;25,52;176,7520308
95;6,207042781;0,003025933;350;174;36,45;177,7768334
98;6,047887837;0,002872747;450;172,85;43,3;178,1909439
67;7,957747155;0,004973592;1000;177,65;-22,03;179,0107354
80;6,047887837;0,002872747;320;179,67;-10,86;179,9979125
58;5,570423008;0,00243706;350;180,05;-3,11;180,0768575
